Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Hour_of_Day,Shift_Description,Immediate_Cause_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S004166    ,Sant Andreu,Navas,Concepción Arenal,Dilluns,2023,7,July,10,9,Morning,Unknown,431847.79,4585680.09,2.183348094,41.417939252,2023-07-10 09:00:00
2023S001316    ,Sant Andreu,Navas,Felip II,Dilluns,2023,3,March,6,15,Afternoon,No determinada,432508.78,4585577.91,2.191268323,41.417074769,2023-03-06 15:00:00
2023S002693    ,Sant Andreu,el Bon Pastor,Potosí,Friday,2023,5,May,5,18,Afternoon,Desobeir altres senyals,433283.08,4588420.85,2.200218856,41.442744975,2023-05-05 18:00:00
2023S004976    ,Sant Andreu,Sant Andreu,Gran de Sant Andreu,Friday,2023,8,August,18,16,Afternoon,Lack of driving attention,432392.96,4587743.22,2.189640271,41.436567285,2023-08-18 16:00:00
2023S001018    ,Sant Andreu,la Trinitat Vella,Dalt (Besòs),Diumenge,2023,2,February,19,7,Morning,Altres,432696.87,4588930.56,2.193145279,41.447286803,2023-02-19 07:00:00
2023S006498    ,Sant Andreu,la Trinitat Vella,Dalt (Llobregat),Friday,2023,11,November,3,10,Morning,Fallada mecànica o avaria,432719.94,4588904.37,2.193424358,41.447052854,2023-11-03 10:00:00
2023S002475    ,Sant Andreu,la Trinitat Vella,Dalt (Llobregat),Thursday,2023,4,April,27,19,Afternoon,Lack of driving attention,432617.25,4588906.94,2.192194823,41.447067383,2023-04-27 19:00:00
2023S005895    ,Sant Andreu,Sant Andreu,Torras i Bages,Thursday,2023,10,October,5,19,Afternoon,Lack of driving attention,432520.38,4588193.85,2.191114948,41.440636683,2023-10-05 19:00:00
2023S004571    ,Sant Andreu,la Sagrera,Meridiana,Thursday,2023,7,July,27,16,Afternoon,Desobeir altres senyals,432152.02,4586223.7,2.186927218,41.422861136,2023-07-27 16:00:00
2023S004199    ,Sant Andreu,la Sagrera,Meridiana,Dimarts,2023,7,July,11,17,Afternoon,Lack of driving attention,432176.8,4586140.69,2.187233052,41.422115585,2023-07-11 17:00:00
