Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Day_Type,Year,Month_Number,Month_Name,Day_of_Month,Hour_of_Day,Shift_Description,Pedestrian_Cause_Description,Vehicle_Type_Description,Vehicle_Model,Vehicle_Brand,Vehicle_Color,License_Description,License_Age,Coordenada_UTM_X,Coordenada_UTM_Y,Latitud,Longitud
2020S000577    ,Sants-Montjuïc,la Marina del Prat Vermell,Longitudinal 5,Saturday,Working Day,2020,1,January,25,1,Night,Not the pedestrian’s fault,Car,A4 1.9 TDI 5 VEL.,AUDI,Blue,B,6,426337.77,4575893.17,41.329305911,2.11861079
2020S000578    ,Eixample,la Sagrada Família,València,Saturday,Working Day,2020,1,January,25,2,Night,Not the pedestrian’s fault,Car,AVEO,CHEVROLET,Unknown,B,12,431430.8,4584164.94,41.404257284,2.17853057
2020S000578    ,Eixample,la Sagrada Família,València,Saturday,Working Day,2020,1,January,25,2,Night,Not the pedestrian’s fault,Car,RAPID,SKODA,Unknown,BTP,16,431430.8,4584164.94,41.404257284,2.17853057
2020S000579    ,Gràcia,Vallcarca i els Penitents,General Mendoza,Saturday,Working Day,2020,1,January,25,7,Morning,Not the pedestrian’s fault,Car,CARENS,KIA,Unknown,Unknown,Unknown,428321.16,4586085.42,41.421282872,2.14110388
2020S000579    ,Gràcia,Vallcarca i els Penitents,General Mendoza,Saturday,Working Day,2020,1,January,25,7,Morning,Not the pedestrian’s fault,Car,ATECA,SEAT,Gray,Unknown,Unknown,428321.16,4586085.42,41.421282872,2.14110388
2020S000579    ,Gràcia,Vallcarca i els Penitents,General Mendoza,Saturday,Working Day,2020,1,January,25,7,Morning,Not the pedestrian’s fault,Car,MERIVA,OPEL,Gray,Unknown,Unknown,428321.16,4586085.42,41.421282872,2.14110388
2020S000580    ,Eixample,la Dreta de l'Eixample,Diagonal,Saturday,Working Day,2020,1,January,25,8,Morning,Not the pedestrian’s fault,Car,206,PEUGEOT,Gray,Unknown,Unknown,430648.16,4583616.69,41.399252203,2.16923104
2020S000580    ,Eixample,la Dreta de l'Eixample,Diagonal,Saturday,Working Day,2020,1,January,25,8,Morning,Not the pedestrian’s fault,Bicycle,Unknown,Unknown,Black,Unknown,Unknown,430648.16,4583616.69,41.399252203,2.16923104
2020S000581    ,Les Corts,les Corts,Numància,Saturday,Working Day,2020,1,January,25,12,Morning,Not the pedestrian’s fault,Van,FIAT DUCATO,FIAT,White,B,16,427792.9,4582292.66,41.387075708,2.13523564
2020S000581    ,Les Corts,les Corts,Numància,Saturday,Working Day,2020,1,January,25,12,Morning,Not the pedestrian’s fault,Motorcycle,MEDLEY,PIAGGIO,Maroon,B,29,427792.9,4582292.66,41.387075708,2.13523564
