Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Date,Day_Type_Description,Year,Month_of_Year,Month_Name,Day_of_Month,Shift_Description,Hour_of_Day,Pedestrian_Cause_Description,Involved_Vehicle_Type_Description,Gender_Description,Age,Person_Type_Description,Pedestrian_Accident_Location_Description,Pedestrian_Movement_Reason_Description,Driver_Movement_Reason_Description,Victimization_Description,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2020S004481    ,Eixample,l'Antiga Esquerra de l'Eixample,Villarroel,Tuesday,2020-09-29,Laboral,2020,9,September,29,Morning,11:00:00,Unknown,Furgoneta,Male,54,Driver,Outside the crossing,Unknown,Unknown,Uninjured,429368.56,4582279.16,2.15408106,41.387094088
2020S004482    ,Ciutat Vella,la Barceloneta,Pepe Rubianes,Monday,2020-09-28,Laboral,2020,9,September,28,Afternoon,18:00:00,Unknown,Car,Male,42,Driver,Unknown,Unknown,Leisure and entertainment,Minor injury: Refused medical assistance,432370.4,4581279.61,2.19009299,41.378349513
2020S004482    ,Ciutat Vella,la Barceloneta,Pepe Rubianes,Monday,2020-09-28,Laboral,2020,9,September,28,Afternoon,18:00:00,Unknown,Car,Male,30,Driver,Unknown,Unknown,Leisure and entertainment,Uninjured,432370.4,4581279.61,2.19009299,41.378349513
2020S004483    ,Horta-Guinardó,la Font d'en Fargues,Llobregós,Tuesday,2020-09-29,Laboral,2020,9,September,29,Morning,11:00:00,Desobeir el senyal del semŕfor,Motorcycle,Male,51,Driver,In crossing regulated by traffic lights,Unknown,Unknown,Uninjured,430216.0,4586797.04,2.16369466,41.42785907
2020S004483    ,Horta-Guinardó,la Font d'en Fargues,Llobregós,Tuesday,2020-09-29,Laboral,2020,9,September,29,Morning,11:00:00,Desobeir el senyal del semŕfor,Motorcycle,Male,77,Pedestrian,In crossing regulated by traffic lights,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430216.0,4586797.04,2.16369466,41.42785907
2020S004484    ,Sarriŕ-Sant Gervasi,Sant Gervasi - la Bonanova,Sant Gervasi,Tuesday,2020-09-29,Laboral,2020,9,September,29,Morning,13:00:00,Unknown,Taxi,Male,48,Driver,Unknown,Unknown,Taxi,Uninjured,427698.19,4584518.62,2.13383704,41.407115526
2020S004484    ,Sarriŕ-Sant Gervasi,Sant Gervasi - la Bonanova,Sant Gervasi,Tuesday,2020-09-29,Laboral,2020,9,September,29,Morning,13:00:00,Unknown,Motorcycle,Male,23,Driver,Unknown,Unknown,In transit (commuting),Minor injury: Hospitalization up to 24 hours,427698.19,4584518.62,2.13383704,41.407115526
2020S004485    ,Grŕcia,el Camp d'en Grassot i Grŕcia Nova,Ca l'Alegre de Dalt,Tuesday,2020-09-29,Laboral,2020,9,September,29,Morning,12:00:00,Unknown,Motorcycle,Female,29,Driver,Unknown,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430096.16,4584575.15,2.16251748,41.407836896
2020S004485    ,Grŕcia,el Camp d'en Grassot i Grŕcia Nova,Ca l'Alegre de Dalt,Tuesday,2020-09-29,Laboral,2020,9,September,29,Morning,12:00:00,Unknown,Furgoneta,Male,28,Driver,Unknown,Unknown,Unknown,Uninjured,430096.16,4584575.15,2.16251748,41.407836896
2020S004486    ,Eixample,la Dreta de l'Eixample,Diagonal,Tuesday,2020-09-29,Laboral,2020,9,September,29,Afternoon,15:00:00,Unknown,Motorcycle,Male,28,Driver,Unknown,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,430948.38,4583654.04,2.1728179,41.399614455
