Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Number,Month_Name,Day_of_Month,Hour_of_Day,Driver_Cause_Description,Shift_Description,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud,Latitud,datetime
2020S002573    ,Sant Martí,el Clot,Consell de Cent,Saturday,2020,6,June,13,20,Disobeying traffic lights,Afternoon,432028.36,4584359.69,2.18675975422402,41.4079106436909,2020-06-13 20:00:00
2020S000666    ,Sant Martí,el Clot,Concili de Trento,Tuesday,2020,1,January,28,17,Improper or careless turn,Afternoon,432597.47,4584914.91,2.19350631986139,41.4129592666478,2020-01-28 17:00:00
2020S002718    ,Sant Martí,el Clot,Dos de Maig,Monday,2020,6,June,22,19,Improper or careless turn,Afternoon,431837.23,4584359.62,2.1844732273394,41.407893828549,2020-06-22 19:00:00
2020S006178    ,Sant Martí,el Clot,Aragó,Wednesday,2020,12,December,23,22,Improper or careless turn,Night,432452.27,4585012.66,2.19175820569127,41.4138274802327,2020-12-23 22:00:00
2020S001662    ,Sant Martí,el Besòs i el Maresme,Litoral (Llobregat),Thursday,2020,3,March,5,10,Not respecting distances,Morning,435017.2,4584731.2,2.22247631838029,41.4115039280988,2020-03-05 10:00:00
2020S003457    ,Sant Martí,el Besòs i el Maresme,Litoral (Llobregat),Wednesday,2020,7,July,29,20,Not respecting pedestrian crossings,Afternoon,434760.33,4584428.46,2.21943576452714,41.4087564127084,2020-07-29 20:00:00
2020S005116    ,Sant Martí,el Besòs i el Maresme,Eduard Maristany,Friday,2020,10,October,30,17,Lack of precaution entering traffic,Afternoon,434943.88,4585010.04,2.22156913439699,41.414009441157,2020-10-30 17:00:00
2020S002054    ,Sant Martí,la Verneda i la Pau,Corts Catalanes,Monday,2020,4,April,20,17,Not yielding to the right,Afternoon,433942.83,4585841.27,2.20950135033383,41.4214144420665,2020-04-20 17:00:00
2020S002119    ,Sant Martí,el Clot,Meridiana,Tuesday,2020,5,May,5,16,Disobeying other signals,Afternoon,432134.81,4584834.86,2.18797995001998,41.4121993465232,2020-05-05 16:00:00
2020S000965    ,Sant Martí,el Besòs i el Maresme,Josep Narcís Roca,Saturday,2020,2,February,8,10,Others,Morning,435075.45,4585059.87,2.22313795233455,41.41446888786,2020-02-08 10:00:00
2020S000965    ,Sant Martí,el Besòs i el Maresme,Josep Narcís Roca,Saturday,2020,2,February,8,10,Improper or careless turn,Morning,435075.45,4585059.87,2.22313795233455,41.41446888786,2020-02-08 10:00:00
2020S000069    ,Sant Martí,el Clot,Las Navas de Tolosa,Sunday,2020,1,January,5,5,Lack of attention while driving,Night,432462.41,4585038.25,2.19187666745958,41.4140588136754,2020-01-05 05:00:00
2020S003778    ,Sant Martí,el Clot,Lope de Vega,Saturday,2020,8,August,22,19,Not determined,Afternoon,432706.69,4584983.9,2.19480537594809,41.4135897913444,2020-08-22 19:00:00
2020S004552    ,Sant Martí,el Clot,Las Navas de Tolosa,Thursday,2020,10,October,1,22,Lack of attention while driving,Night,432453.84,4585078.38,2.19176965208835,41.41441953193,2020-10-01 22:00:00
2020S000710    ,Sant Martí,Sant Martí de Provençals,Agricultura,Thursday,2020,1,January,30,10,Lack of attention while driving,Morning,433340.64,4585707.35,2.20231043920285,41.4201585282284,2020-01-30 10:00:00
2020S000518    ,Sant Martí,la Verneda i la Pau,Santander,Wednesday,2020,1,January,22,14,Lack of precaution entering traffic,Afternoon,433392.89,4586724.41,2.20282360272744,41.429323214586,2020-01-22 14:00:00
2020S001989    ,Sant Martí,la Verneda i la Pau,Prim,Wednesday,2020,4,April,1,16,Disobeying traffic lights,Afternoon,433840.49,4585944.54,2.2082654735076,41.422336144915,2020-04-01 16:00:00
2020S001952    ,Sant Martí,la Verneda i la Pau,Cantàbria,Thursday,2020,3,March,19,22,Not determined,Night,433157.72,4586274.07,2.20005906114498,41.4252476065813,2020-03-19 22:00:00
2020S006159    ,Sant Martí,Sant Martí de Provençals,Treball,Wednesday,2020,12,December,23,9,Not yielding to the right,Morning,433467.95,4585370.59,2.20387081595164,41.417135980301,2020-12-23 09:00:00
2020S002537    ,Sant Martí,el Besòs i el Maresme,Llull,Thursday,2020,6,June,11,19,Not yielding to the right,Afternoon,434789.74,4585149.79,2.21970986787244,41.4152556421731,2020-06-11 19:00:00
2020S002389    ,Sant Martí,la Verneda i la Pau,Maresme,Tuesday,2020,6,June,2,12,Lack of attention while driving,Morning,433696.95,4585898.43,2.20655293577603,41.4219090125135,2020-06-02 12:00:00
2020S001386    ,Sant Martí,la Verneda i la Pau,Sant Martí,Monday,2020,2,February,24,4,Lack of attention while driving,Night,432945.92,4586162.5,2.19753693670982,41.4242250796412,2020-02-24 04:00:00
2020S005091    ,Sant Martí,Provençals del Poblenou,Selva de Mar,Thursday,2020,10,October,29,10,Not respecting distances,Morning,433757.51,4584880.79,2.20738903396835,41.4127484090573,2020-10-29 10:00:00
